face_id,face_number,layer_id,sanskrit_name,vertices_count
pslg_tri_1,1,central_trikona,"केन्द्रीय कामाख्या त्रिकोण",3
pslg_tri_2,2,ashtaragon,"अष्टार कोण 1",3
pslg_tri_3,3,ashtaragon,"अष्टार कोण 2",4
pslg_tri_4,4,ashtaragon,"अष्टार कोण 3",4
pslg_tri_5,5,ashtaragon,"अष्टार कोण 4",5
pslg_tri_6,6,ashtaragon,"अष्टार कोण 5",3
pslg_tri_7,7,ashtaragon,"अष्टार कोण 6",3
pslg_tri_8,8,ashtaragon,"अष्टार कोण 7",5
pslg_tri_9,9,ashtaragon,"अष्टार कोण 8",5
pslg_tri_10,10,antar_dasharam,"अन्तर्दशार कोण 1",5
pslg_tri_11,11,antar_dasharam,"अन्तर्दशार कोण 2",4
pslg_tri_12,12,antar_dasharam,"अन्तर्दशार कोण 3",4
pslg_tri_13,13,antar_dasharam,"अन्तर्दशार कोण 4",4
pslg_tri_14,14,antar_dasharam,"अन्तर्दशार कोण 5",4
pslg_tri_15,15,antar_dasharam,"अन्तर्दशार कोण 6",3
pslg_tri_16,16,antar_dasharam,"अन्तर्दशार कोण 7",3
pslg_tri_17,17,antar_dasharam,"अन्तर्दशार कोण 8",3
pslg_tri_18,18,antar_dasharam,"अन्तर्दशार कोण 9",3
pslg_tri_19,19,antar_dasharam,"अन्तर्दशार कोण 10",3
pslg_tri_20,20,bahir_dasharam,"बहिरन्तर्दशार कोण 1",3
pslg_tri_21,21,bahir_dasharam,"बहिरन्तर्दशार कोण 2",5
pslg_tri_22,22,bahir_dasharam,"बहिरन्तर्दशार कोण 3",5
pslg_tri_23,23,bahir_dasharam,"बहिरन्तर्दशार कोण 4",4
pslg_tri_24,24,bahir_dasharam,"बहिरन्तर्दशार कोण 5",4
pslg_tri_25,25,bahir_dasharam,"बहिरन्तर्दशार कोण 6",3
pslg_tri_26,26,bahir_dasharam,"बहिरन्तर्दशार कोण 7",3
pslg_tri_27,27,bahir_dasharam,"बहिरन्तर्दशार कोण 8",3
pslg_tri_28,28,bahir_dasharam,"बहिरन्तर्दशार कोण 9",3
pslg_tri_29,29,bahir_dasharam,"बहिरन्तर्दशार कोण 10",4
pslg_tri_30,30,chaturdasharam,"चतुर्दशार कोण 1",4
pslg_tri_31,31,chaturdasharam,"चतुर्दशार कोण 2",3
pslg_tri_32,32,chaturdasharam,"चतुर्दशार कोण 3",3
pslg_tri_33,33,chaturdasharam,"चतुर्दशार कोण 4",4
pslg_tri_34,34,chaturdasharam,"चतुर्दशार कोण 5",4
pslg_tri_35,35,chaturdasharam,"चतुर्दशार कोण 6",3
pslg_tri_36,36,chaturdasharam,"चतुर्दशार कोण 7",3
pslg_tri_37,37,chaturdasharam,"चतुर्दशार कोण 8",3
pslg_tri_38,38,chaturdasharam,"चतुर्दशार कोण 9",3
pslg_tri_39,39,chaturdasharam,"चतुर्दशार कोण 10",3
pslg_tri_40,40,chaturdasharam,"चतुर्दशार कोण 11",3
pslg_tri_41,41,chaturdasharam,"चतुर्दशार कोण 12",3
pslg_tri_42,42,chaturdasharam,"चतुर्दशार कोण 13",3
pslg_tri_43,43,chaturdasharam,"चतुर्दशार कोण 14",4
